"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"11220",0.6666666666666666,1,0,1,9,9
"11221",2.3333333333333335,1,1,4,3,6
"11222",2,2,1,3,2,5
"11224",2,2,2,2,0,1
"11225",0.9230769230769231,1,1,1,13,13
"11226",0.75,1,0,1,4,4
"11228",2,2,2,2,0,1
"11229",3,3,3,3,0,2
"11230",1,1,1,1,3,3
"11231",1,0,0,2,5,8
"11233",0.6666666666666666,1,0,1,3,3
"11234",2,3,0,3,1,3
"11237",3.4,4,4,4,1,5
"11238",2.25,1,1,3,7,12
"11249",1.8,1,1,3,3,5
"11354",4,4,4,4,0,1
"11360",0.5,0,0,1,4,4
"11361",1,1,1,1,1,1
"11364",0.8,1,1,1,5,5
"11366",1,1,1,1,7,7
"11367",1.4,2,1,2,2,5
"11368",0.5454545454545454,1,0,1,11,11
"11373",0.5,0,0,1,2,2
"11375",0,0,0,0,3,3
"11377",2.3333333333333335,1,0,6,2,3
"11385",0.2,0,0,0,5,5
"11411",0,0,0,0,1,1
"11412",3,3,3,3,0,1
"11416",1,0,0,2,1,2
"11418",1,1,1,1,1,1
"11423",1,1,1,1,3,3
"11429",2,2,2,2,0,1
"11436",3.5,3,3,4,0,2
"11501",1.6,1,1,1,4,5
"11507",6,6,6,6,0,1
"11509",1,1,1,1,1,1
"11516",1,1,1,1,1,1
"11530",1,1,1,1,1,1
"11542",0,0,0,0,2,2
"11545",1,1,1,1,7,7
"11549",1,1,1,1,1,1
"11550",1,1,1,1,1,1
"11559",1,1,1,1,1,1
"11560",0,0,0,0,1,1
"11561",4,4,4,4,0,1
"11566",0.6666666666666666,1,0,1,3,3
"11570",2,2,2,2,0,1
"11575",0.6666666666666666,0,0,2,2,3
"11577",1,1,1,1,1,1
"11580",2,2,2,2,0,1
"11598",1,1,1,1,6,6
"11691",1,1,1,1,2,2
"11710",6,6,6,6,0,1
"11717",2,2,2,2,0,1
"11727",0,0,0,0,2,2
"11731",0,0,0,0,2,2
"11732",1,1,1,1,1,1
"11735",1.25,1,1,1,3,4
"11738",2,2,2,2,0,1
"11740",1,1,1,1,1,1
"11741",1.5,1,1,2,1,2
"11746",0.5,0,0,0,3,4
"11753",0,0,0,0,1,1
"11754",0,0,0,0,1,1
"11755",6,6,6,6,0,2
"11777",6,6,6,6,0,1
"11778",1,1,1,1,1,1
"11779",1,1,1,1,1,1
"11782",2,2,2,2,0,1
"11787",3,3,3,3,0,1
"11795",0,0,0,0,1,1
"11796",2,2,2,2,0,1
"11797",2,1,0,5,2,3
"11803",3,3,3,3,0,4
"11930",3,2,2,4,0,2
"11950",3,3,3,3,0,1
"11963",2,2,2,2,0,2
"11968",3,3,3,3,0,2
"12019",1,1,1,1,1,1
"12053",1,1,1,1,1,1
"12054",1,1,1,1,1,1
"12065",1.25,1,0,1,3,4
"12072",1,1,1,1,1,1
"12095",1,1,1,1,1,1
"12118",1,1,1,1,2,2
"12134",0,0,0,0,9,9
"12144",0,0,0,0,2,2
"12170",0,0,0,0,3,3
"12180",0,0,0,0,1,1
"12205",6,6,6,6,0,1
"12250",0,0,0,0,1,1
"12302",0.75,1,0,1,4,4
"12303",0.6666666666666666,0,0,2,2,3
"12304",0,0,0,0,1,1
"12345",0,0,0,0,1,1
"12401",4,4,4,4,0,4
"12406",4,4,4,4,0,1
"12446",1,1,1,1,1,1
"12533",3,3,3,3,0,1
"12553",1,1,1,1,1,1
"12561",4.333333333333333,6,1,6,1,3
"12563",7,7,7,7,0,1
"12570",3,2,2,5,0,3
"12571",0.75,1,0,1,4,4
"12590",0.5,0,0,1,2,2
"12603",0,0,0,0,3,3
"12758",0,0,0,0,2,2
"12866",2,2,2,2,0,1
"12978",2,2,2,2,0,1
"12992",2,2,2,2,0,1
"12997",1,1,1,1,1,1
"13045",1,1,1,1,1,1
"13069",0.3333333333333333,0,0,1,3,3
"13074",1,1,1,1,1,1
"13077",1,0,0,2,1,2
"13078",2.3333333333333335,3,1,3,1,3
"13088",2,2,2,2,0,1
"13104",0,0,0,0,1,1
"13114",0,0,0,0,1,1
"13152",0,0,0,0,1,1
"13203",0,0,0,0,1,1
"13207",6,6,6,6,0,1
"13215",2,1,1,3,1,2
"13323",0,0,0,0,1,1
"13346",0.75,1,0,1,4,4
"13440",1,1,1,1,1,1
"13495",0.6666666666666666,1,0,1,3,3
"13501",1,1,1,1,1,1
"13603",0,0,0,0,4,4
"13634",0.5,0,0,1,2,2
"13654",0.5,0,0,1,2,2
"13760",1,1,1,1,1,1
"13790",0,0,0,0,1,1
"13820",1,1,1,1,1,1
"13903",0,0,0,0,2,2
"14004",1,1,1,1,1,1
"14012",1,1,1,1,1,1
"14032",1,1,1,1,1,1
"14047",9,9,9,9,0,1
"14051",0,0,0,0,1,1
"14052",3,3,3,3,0,1
"14063",1,1,1,1,2,2
"14103",5,5,5,5,0,1
"14127",0,0,0,0,1,1
"14208",1.2,0,0,2,6,10
"14213",1,1,1,1,1,1
"14214",16,16,16,16,0,1
"14217",1,1,1,1,1,1
"14221",0.5833333333333334,0,0,1,9,12
"14222",0,0,0,0,1,1
"14223",1,1,1,1,1,1
"14226",0,0,0,0,1,1
"14228",0.5,0,0,1,2,2
"14414",3,3,3,3,0,1
"14445",2,2,2,2,0,1
"14450",1,1,1,1,9,11
"14456",1,1,1,1,1,1
"14467",1.3333333333333333,1,0,3,2,3
"14469",1,1,1,1,1,1
"14512",0,0,0,0,1,1
"14526",0.5,0,0,1,2,2
"14534",0.375,0,0,1,8,8
"14609",1,1,1,1,1,1
"14612",1,1,1,1,1,1
"14619",2,2,2,2,0,1
"14622",1,1,1,1,1,1
"14624",2.5,2,2,2,0,4
"14701",6,6,6,6,0,1
"14714",1,1,1,1,1,1
"14715",4,4,4,4,0,1
"14727",1.7142857142857142,1,1,3,4,7
"14750",1,1,1,1,2,2
"14757",1,1,1,1,1,1
"14810",1,1,1,1,1,1
"14823",1,1,1,1,1,1
"14830",0,0,0,0,2,2
"14842",2,2,2,2,0,1
"14843",1.3333333333333333,1,1,2,2,3
"14847",1,1,1,1,1,1
"14850",2.5,1,1,4,1,2
"14883",1,1,1,1,2,2
"15001",0,0,0,0,7,7
"15044",2,0,0,2,2,4
"15057",0.5384615384615384,0,0,1,10,13
"15068",4.666666666666667,6,2,6,0,3
"15090",1.3846153846153846,2,0,2,4,13
"15106",0,0,0,0,2,2
"15122",3,0,0,6,1,2
"15126",6,6,6,6,0,1
"15136",3,3,3,3,0,1
"15146",0,0,0,0,3,3
"15147",6,6,6,6,0,1
"15205",2,2,2,2,0,4
"15206",2.25,1,1,3,2,4
"15213",1,1,1,1,1,1
"15217",1.5,1,1,2,1,2
"15221",3.4,3,1,6,2,5
"15226",1,1,1,1,1,1
"15228",0.6666666666666666,1,0,1,3,3
"15236",0,0,0,0,1,1
"15237",1.4,2,1,2,2,5
"15238",1.25,1,0,1,3,4
"15241",1.5,0,0,3,1,2
"15360",1,1,1,1,1,1
"15367",0,0,0,0,7,7
"15459",2,2,2,2,0,1
"15461",0.3333333333333333,0,0,1,3,3
"15601",1.3333333333333333,2,0,2,1,3
"15632",0,0,0,0,2,2
"15668",6,6,6,6,0,1
"15801",1,1,1,1,1,1
"16001",3,3,3,3,0,1
"16002",0.875,1,1,1,8,8
"16034",1,1,1,1,1,1
"16066",0.75,1,0,1,8,8
"16127",0,0,0,0,1,1
"16142",6,6,6,6,0,1
"16201",4.5,3,3,6,0,2
"16239",1,1,1,1,1,1
"16254",0,0,0,0,6,6
"16255",0,0,0,0,1,1
"16313",2,2,2,2,0,1
"16335",6,6,6,6,0,1
"16435",1,1,1,1,2,2
"16601",1,1,1,1,1,1
"16698",2,2,2,2,0,1
"16801",1,0,0,2,1,2
"16828",2,2,2,2,0,2
"16882",2,2,2,2,0,1
"16935",1.4,2,1,2,2,5
"16950",0,0,0,0,2,2
"17019",6,6,6,6,0,1
"17033",1,1,1,1,1,1
"17036",1,1,1,1,1,1
"17055",2,1,1,4,3,5
"17070",0,0,0,0,1,1
"17078",4,4,4,4,0,1
"17104",0,0,0,0,1,1
"17112",0,0,0,0,1,1
"17201",0,0,0,0,1,1
"17255",1,1,1,1,1,1
"17315",4.5,3,3,6,0,2
"17325",1,1,1,1,1,1
"17353",2,2,2,2,0,2
"17402",0.2857142857142857,0,0,0,6,7
"17404",0,0,0,0,1,1
"17516",1,1,1,1,2,2
"17517",0,0,0,0,1,1
"17543",3.5,1,1,6,1,2
"17552",0.6,1,0,1,5,5
"17554",0,0,0,0,1,1
"17566",0.6666666666666666,1,0,1,3,3
"17601",3,0,0,6,1,2
"17701",4.333333333333333,6,1,6,1,3
"17702",0,0,0,0,1,1
"17745",6,6,6,6,0,1
"17810",6,6,6,6,0,2
"17815",2.6666666666666665,2,0,6,1,3
"17824",1.375,1,1,2,5,8
"17834",3,3,3,3,0,1
"17870",0,0,0,0,1,1
"17954",1,1,1,1,1,1
"18015",0.3333333333333333,0,0,1,3,3
"18017",0.5,0,0,1,2,2
"18018",4.8,6,5,6,1,5
"18032",6,6,6,6,0,1
"18034",3,3,3,3,0,1
"18045",0.6,1,0,1,5,5
"18052",0.6666666666666666,1,0,1,3,3
